FrameID,CPU_Percent
0,11.75
1,41.95
2,27.25
3,27.1
4,26.85
5,28.3
6,26.5
7,26.5
8,26.700000000000003
9,28.25
10,27.049999999999997
11,27.65
12,27.85
13,29.349999999999998
14,27.85
15,29.9
16,27.1
17,27.75
18,29.7
19,28.05
20,27.700000000000003
21,29.4
22,26.35
23,29.45
24,27.9
25,27.950000000000003
26,27.9
27,28.0
28,27.75
29,28.549999999999997
30,29.5
31,27.1
32,29.45
33,28.7
34,27.2
35,27.35
36,27.15
37,27.9
38,27.85
39,27.25
40,28.450000000000003
41,27.950000000000003
42,26.85
43,27.9
44,28.849999999999998
45,26.3
46,27.25
47,27.2
48,27.8
49,31.85
50,27.9
51,28.65
52,27.950000000000003
53,28.0
54,28.0
55,30.25
56,31.95
57,30.9
58,27.549999999999997
59,28.1
60,28.549999999999997
61,28.799999999999997
62,26.55
63,26.05
64,29.4
65,28.0
66,28.1
67,27.85
68,27.9
69,31.65
70,29.5
71,30.25
72,26.4
73,29.45
74,27.85
75,29.4
76,27.549999999999997
77,27.1
78,29.549999999999997
79,29.45
80,26.8
81,28.0
82,27.299999999999997
83,27.25
84,28.75
85,28.7
86,27.35
87,26.55
88,27.25
89,27.950000000000003
90,28.1
91,27.9
92,28.0
93,26.55
94,26.65
95,25.25
96,29.95
97,25.75
98,28.05
99,27.5
100,28.849999999999998
101,28.799999999999997
102,29.15
103,27.85
104,28.849999999999998
105,27.549999999999997
106,25.9
107,27.75
108,29.5
109,26.75
110,27.8
111,27.15
112,29.299999999999997
113,29.5
114,28.05
115,28.15
116,26.4
117,28.0
118,30.2
119,29.7
120,28.65
121,27.9
122,30.8
123,33.8
124,27.85
125,28.1
126,28.15
127,27.9
128,29.299999999999997
129,28.799999999999997
130,27.9
131,27.299999999999997
132,30.15
133,29.549999999999997
134,27.85
135,28.4
136,27.15
137,30.2
138,27.549999999999997
139,26.95
140,27.5
141,26.6
142,26.200000000000003
143,27.2
144,29.45
145,25.85
146,26.75
147,26.450000000000003
148,27.049999999999997
149,29.5
150,28.15
151,26.450000000000003
152,26.65
153,29.599999999999998
154,27.85
155,28.1
156,28.849999999999998
157,30.45
158,28.8
159,28.549999999999997
160,28.15
161,26.6
162,27.950000000000003
163,29.45
164,26.450000000000003
165,31.05
166,28.0
167,28.15
168,29.9
169,26.35
170,28.6
171,27.950000000000003
172,27.85
173,26.5
174,30.45
175,29.65
176,28.200000000000003
177,27.75
178,30.35
179,28.05
180,25.9
181,28.65
182,27.6
183,27.45
184,28.15
185,28.05
186,27.45
187,30.95
188,27.950000000000003
189,28.75
190,28.1
191,28.9
192,29.75
193,33.9
194,27.65
195,27.45
196,28.35
197,29.7
198,26.65
199,28.9
200,27.4
201,28.7
202,28.799999999999997
203,29.0
204,25.9
205,28.35
206,26.55
207,27.549999999999997
208,28.799999999999997
209,28.849999999999998
210,28.05
211,27.25
212,30.7
213,29.65
214,27.950000000000003
215,27.45
216,26.950000000000003
217,26.75
218,32.45
219,28.15
220,28.05
221,27.55
222,28.35
223,27.35
224,28.9
225,26.0
226,28.9
227,28.25
228,26.6
229,26.25
230,29.2
231,27.5
232,28.15
233,29.549999999999997
