FrameID,TotalLatency,EncodeDuration,NetworkDelay,DecodeDuration
1,0.19821619987487793,0.06058192253112793,0.1376338005065918,0.06824922561645508
2,0.21065568923950195,0.06365966796875,0.14699530601501465,0.0650327205657959
3,0.21487879753112793,0.06718873977661133,0.1476893424987793,0.06413722038269043
4,0.2146773338317871,0.0638434886932373,0.1508331298828125,0.06310367584228516
5,0.21892023086547852,0.06346440315246582,0.1554551124572754,0.06433296203613281
6,0.22427058219909668,0.06433486938476562,0.15993523597717285,0.06490015983581543
7,0.22688770294189453,0.06390190124511719,0.16298532485961914,0.06333374977111816
8,0.23129940032958984,0.0623316764831543,0.16896724700927734,0.06468820571899414
9,0.23599028587341309,0.06414318084716797,0.17184662818908691,0.06355905532836914
10,0.24010872840881348,0.0631093978881836,0.17699885368347168,0.06448817253112793
11,0.24463200569152832,0.06178164482116699,0.18284964561462402,0.06435489654541016
12,0.2510237693786621,0.062145233154296875,0.18887805938720703,0.06444048881530762
13,0.25754714012145996,0.06180882453918457,0.1957378387451172,0.0642547607421875
14,0.15095877647399902,0.0632331371307373,0.08772516250610352,0.0642702579498291
15,0.14443135261535645,0.08179712295532227,0.06263208389282227,0.06244516372680664
16,0.14111042022705078,0.075469970703125,0.06563854217529297,0.0654134750366211
17,0.1418170928955078,0.07698512077331543,0.06483125686645508,0.0646517276763916
18,0.13799619674682617,0.07367205619812012,0.06432318687438965,0.06415605545043945
19,0.13098978996276855,0.06800723075866699,0.06298184394836426,0.06279158592224121
20,0.14310431480407715,0.08011531829833984,0.0629873275756836,0.06277847290039062
21,0.13793468475341797,0.07484698295593262,0.06308603286743164,0.06286168098449707
22,0.13706564903259277,0.0736234188079834,0.06344056129455566,0.0632481575012207
23,0.1423203945159912,0.07855629920959473,0.06376218795776367,0.06357121467590332
24,0.13528656959533691,0.0721886157989502,0.06309652328491211,0.06293225288391113
25,0.12821054458618164,0.06340909004211426,0.06480073928833008,0.06460189819335938
26,0.14010977745056152,0.0761876106262207,0.06392073631286621,0.06374979019165039
27,0.1421661376953125,0.0773155689239502,0.0648488998413086,0.0646817684173584
28,0.13925981521606445,0.0748295783996582,0.06442856788635254,0.06425213813781738
29,0.14102840423583984,0.0770721435546875,0.06395459175109863,0.06379532814025879
30,0.1363229751586914,0.07184290885925293,0.06447815895080566,0.0643007755279541
31,0.13880300521850586,0.07581186294555664,0.0629889965057373,0.06277155876159668
32,0.13693451881408691,0.07266378402709961,0.06426882743835449,0.06409764289855957
33,0.142136812210083,0.07949090003967285,0.06264424324035645,0.06247234344482422
34,0.13547801971435547,0.07257199287414551,0.06290411949157715,0.06272077560424805
35,0.13672184944152832,0.07432889938354492,0.062391042709350586,0.062172651290893555
36,0.1366715431213379,0.07394886016845703,0.06272053718566895,0.06254100799560547
37,0.13781189918518066,0.07344865798950195,0.0643620491027832,0.06417322158813477
38,0.13051414489746094,0.06476092338562012,0.06575250625610352,0.06557369232177734
39,0.12781691551208496,0.06197023391723633,0.06584596633911133,0.0656278133392334
40,0.14385461807250977,0.0800008773803711,0.06385159492492676,0.06366634368896484
41,0.1359856128692627,0.07314229011535645,0.06284189224243164,0.06267952919006348
42,0.14670276641845703,0.08200812339782715,0.06469273567199707,0.06450557708740234
43,0.13298845291137695,0.06682419776916504,0.06616330146789551,0.06597661972045898
44,0.14386868476867676,0.07806515693664551,0.06580138206481934,0.06559514999389648
45,0.13480138778686523,0.06994104385375977,0.06485843658447266,0.06466507911682129
46,0.14026570320129395,0.07513904571533203,0.0651249885559082,0.06491637229919434
47,0.13867926597595215,0.07455730438232422,0.06412005424499512,0.06394624710083008
48,0.14238667488098145,0.07937312126159668,0.06301188468933105,0.0628366470336914
49,0.1447772979736328,0.08097648620605469,0.06379938125610352,0.06358098983764648
50,0.13948845863342285,0.07651329040527344,0.0629734992980957,0.06281089782714844
51,0.1429140567779541,0.07904624938964844,0.06386590003967285,0.0636899471282959
52,0.13760781288146973,0.0728754997253418,0.06473088264465332,0.06454992294311523
53,0.12696218490600586,0.06388449668884277,0.06307697296142578,0.06286954879760742
54,0.14584875106811523,0.08309555053710938,0.06275153160095215,0.06258249282836914
55,0.1419820785522461,0.07916259765625,0.06281781196594238,0.06264734268188477
56,0.1365954875946045,0.0735476016998291,0.06304645538330078,0.06283259391784668
57,0.136810302734375,0.07282614707946777,0.06398200988769531,0.06377291679382324
58,0.137498140335083,0.07432007789611816,0.06317639350891113,0.06298708915710449
59,0.1352839469909668,0.07259583473205566,0.06268644332885742,0.06250429153442383
60,0.1389155387878418,0.07603120803833008,0.0628824234008789,0.06270408630371094
61,0.13669991493225098,0.07289004325866699,0.06380867958068848,0.06359052658081055
62,0.13636398315429688,0.07417178153991699,0.06219029426574707,0.06196451187133789
63,0.14220476150512695,0.07777142524719238,0.06443119049072266,0.06422734260559082
64,0.1357102394104004,0.07329249382019043,0.06241559982299805,0.06224226951599121
65,0.13778257369995117,0.07449030876159668,0.06329035758972168,0.06311702728271484
66,0.14849138259887695,0.08540606498718262,0.06308364868164062,0.06290745735168457
67,0.1483449935913086,0.08523344993591309,0.0631101131439209,0.06289219856262207
68,0.13595867156982422,0.07407569885253906,0.06188082695007324,0.06166505813598633
69,0.13909578323364258,0.0760190486907959,0.06307458877563477,0.06290984153747559
70,0.13648557662963867,0.07294201850891113,0.06354236602783203,0.06336474418640137
71,0.14481043815612793,0.08208227157592773,0.06272625923156738,0.06254816055297852
72,0.13705182075500488,0.07392144203186035,0.06312799453735352,0.062957763671875
73,0.13739609718322754,0.07400727272033691,0.06338691711425781,0.0632026195526123
74,0.13747358322143555,0.07492184638977051,0.06254982948303223,0.062381744384765625
75,0.13950157165527344,0.07643342018127441,0.06306624412536621,0.06284689903259277
76,0.13987278938293457,0.07796311378479004,0.06190776824951172,0.06174468994140625
77,0.14573931694030762,0.08305621147155762,0.06268143653869629,0.06248664855957031
78,0.14174294471740723,0.07302403450012207,0.06871724128723145,0.06848716735839844
