FrameID,CPU_Percent
0,14.55
1,50.150000000000006
2,35.4
3,34.05
4,33.3
5,33.3
6,42.25
7,32.95
8,45.400000000000006
9,39.4
10,28.95
11,42.65
12,34.599999999999994
13,29.15
14,41.85
15,33.3
16,36.65
17,41.85
18,46.45
19,44.9
20,36.35
21,36.05
22,10.1
23,39.8
24,27.7
25,26.95
26,36.0
27,27.4
28,12.55
29,19.7
30,34.05
31,33.95
32,29.65
33,27.75
34,34.4
35,25.349999999999998
36,22.45
37,34.05
38,28.25
39,51.150000000000006
40,43.65
41,28.349999999999998
42,27.049999999999997
43,36.75
44,23.5
45,28.0
46,42.4
47,26.049999999999997
48,26.7
49,29.55
50,26.799999999999997
51,30.05
52,26.349999999999998
53,39.05
54,38.9
55,30.599999999999998
56,26.25
57,25.4
58,34.25
59,25.799999999999997
60,33.8
61,25.25
62,25.95
63,26.599999999999998
64,29.5
65,22.5
66,22.1
67,9.05
68,34.7
69,22.25
70,47.5
71,22.8
72,21.85
73,34.0
74,27.799999999999997
75,33.4
76,48.8
77,22.0
78,25.7
79,34.1
80,33.65
81,34.0
82,35.0
83,30.8
84,34.85
85,35.5
86,33.8
87,33.2
88,33.85
89,25.799999999999997
90,26.349999999999998
91,26.849999999999998
92,33.95
93,34.8
94,27.5
95,27.049999999999997
96,34.6
97,35.0
98,34.65
99,31.4
100,35.4
101,39.45
102,34.55
103,25.799999999999997
104,34.0
105,35.4
106,34.25
107,29.25
108,26.099999999999998
109,22.35
110,28.2
