FrameID,LatencySeconds
0,0.1264505386352539
1,0.1331648826599121
2,0.14410662651062012
3,0.14597129821777344
4,0.15149569511413574
5,0.15427017211914062
6,0.15833377838134766
7,0.16454148292541504
8,0.17069506645202637
9,0.17662906646728516
10,0.17857956886291504
11,0.18460845947265625
12,0.19410085678100586
13,0.20321297645568848
25,0.09482884407043457
40,0.06432867050170898
54,0.06381750106811523
67,0.06351256370544434
80,0.06436038017272949
94,0.06375527381896973
108,0.0633089542388916
122,0.06319594383239746
136,0.06374669075012207
150,0.062448740005493164
164,0.0622105598449707
178,0.06403684616088867
193,0.06272053718566895
207,0.06269574165344238
221,0.06430554389953613
235,0.0644068717956543
249,0.06381511688232422
263,0.06381082534790039
277,0.06529521942138672
291,0.06448078155517578
306,0.06348824501037598
320,0.0635843276977539
334,0.0630948543548584
348,0.06353068351745605
362,0.06342220306396484
374,0.06374788284301758
389,0.06248331069946289
403,0.06320333480834961
418,0.06334567070007324
431,0.06363058090209961
444,0.06268072128295898
458,0.06304287910461426
471,0.06340646743774414
485,0.06240415573120117
498,0.06260371208190918
512,0.0631263256072998
526,0.06264853477478027
540,0.0624537467956543
554,0.06356382369995117
568,0.06251120567321777
581,0.0623774528503418
594,0.06281638145446777
607,0.06281733512878418
621,0.06255698204040527
635,0.06255602836608887
649,0.0630028247833252
662,0.06316566467285156
676,0.06378340721130371
690,0.06342530250549316
703,0.06331348419189453
717,0.06442713737487793
731,0.06429004669189453
744,0.06251382827758789
758,0.06314659118652344
772,0.06267356872558594
786,0.06249570846557617
800,0.06205010414123535
813,0.06318116188049316
827,0.06292414665222168
841,0.06287837028503418
855,0.06329941749572754
869,0.06372594833374023
883,0.06183886528015137
897,0.06707882881164551
