FrameID,CPU_Percent
0,12.15
1,20.35
2,29.8
3,31.799999999999997
4,30.299999999999997
5,39.3
6,40.4
7,31.4
8,33.099999999999994
9,39.75
10,30.549999999999997
11,31.4
12,49.150000000000006
13,35.8
14,34.6
15,23.7
16,26.25
17,29.0
18,28.35
19,38.05
20,27.7
21,23.5
22,32.9
23,25.0
24,24.65
25,28.0
26,27.65
27,7.55
28,23.5
29,24.349999999999998
30,7.95
31,37.2
32,32.8
33,23.9
34,34.85
35,33.05
36,20.95
37,25.2
38,21.55
39,28.55
40,24.849999999999998
41,32.75
42,33.15
43,21.2
44,24.299999999999997
45,24.599999999999998
46,24.45
47,24.95
48,23.349999999999998
49,25.25
50,31.599999999999998
51,21.25
52,26.2
53,24.099999999999998
54,26.0
55,24.799999999999997
56,20.6
57,37.8
58,28.05
59,33.35
60,27.75
61,19.9
62,23.9
63,23.7
64,7.45
65,24.049999999999997
66,24.349999999999998
67,24.45
68,32.7
69,23.35
70,25.25
71,24.599999999999998
72,24.75
73,23.9
74,24.599999999999998
75,23.849999999999998
76,28.55
77,20.75
78,23.849999999999998
79,23.599999999999998
80,19.45
81,31.8
82,20.05
83,32.4
84,24.25
85,19.4
86,24.95
87,25.65
88,27.15
89,23.45
90,24.799999999999997
91,32.35
92,24.299999999999997
93,24.5
94,24.2
95,32.6
96,24.849999999999998
97,32.55
98,23.7
99,34.65
